tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn,Churn_Probability,Revenue_At_Risk
1,29.85,29.85,Month-to-month,DSL,Electronic check,0,0.4597665939451098,164.68839395113832
34,56.95,1889.5,One year,DSL,Mailed check,0,0.08665087102585313,59.217205259068024
2,53.85,108.15,Month-to-month,DSL,Mailed check,1,0.36013689823288,232.72046363808704
45,42.3,1840.75,One year,DSL,Bank transfer (automatic),0,0.058630034678536086,29.760605602824917
2,70.7,151.65,Month-to-month,Fiber optic,Electronic check,1,0.7222183772810441,612.7300712852378
8,99.65,820.5,Month-to-month,Fiber optic,Electronic check,1,0.7119241214043257,851.3188643752926
22,89.1,1949.4,Month-to-month,Fiber optic,Credit card (automatic),0,0.4698655439814992,502.38023962501893
10,29.75,301.9,Month-to-month,DSL,Mailed check,0,0.28364212551794765,101.2602388099073
28,104.8,3046.05,Month-to-month,Fiber optic,Electronic check,1,0.5797565451105195,729.1018311309894
62,56.15,3487.95,One year,DSL,Bank transfer (automatic),0,0.038099671225663954,25.67155847185237
13,49.95,587.45,Month-to-month,DSL,Mailed check,0,0.2837564015082682,170.08358706405596
16,18.95,326.8,Two year,No,Credit card (automatic),0,0.0273910653547279,6.228728261665124
58,100.35,5681.1,One year,Fiber optic,Credit card (automatic),0,0.12073528043903868,145.38942470469036
49,103.7,5036.3,Month-to-month,Fiber optic,Bank transfer (automatic),1,0.3030644266356768,377.1333725054362
25,105.5,2686.05,Month-to-month,Fiber optic,Electronic check,0,0.602499496792058,762.7643629387455
69,113.25,7895.15,Two year,Fiber optic,Credit card (automatic),0,0.047348388908383776,64.34646052649356
52,20.65,1022.95,One year,No,Mailed check,0,0.020818483025715147,5.1588200937722135
71,106.7,7382.25,Two year,Fiber optic,Bank transfer (automatic),0,0.04514360966789063,57.80187781876717
10,55.2,528.35,Month-to-month,DSL,Credit card (automatic),1,0.29473276379553687,195.23098273816362
21,90.05,1862.9,Month-to-month,Fiber optic,Electronic check,0,0.614711674913153,664.2574359111532
1,39.65,39.65,Month-to-month,DSL,Electronic check,1,0.4708113678559051,224.01204882583966
12,19.8,202.25,One year,No,Bank transfer (automatic),0,0.06518342661065017,15.487582162690483
1,20.15,20.15,Month-to-month,No,Mailed check,1,0.1850277388770898,44.7397072604803
58,59.9,3505.1,Two year,DSL,Credit card (automatic),0,0.020392884396208226,14.658405303994474
49,59.6,2970.3,Month-to-month,DSL,Credit card (automatic),0,0.11559045999475841,82.67029698825121
30,55.3,1530.6,Month-to-month,DSL,Bank transfer (automatic),0,0.19184728798636427,127.30986030775132
47,99.35,4749.15,Month-to-month,Fiber optic,Electronic check,1,0.43072271948628277,513.5076261715462
1,30.2,30.2,Month-to-month,DSL,Electronic check,1,0.46016043542058627,166.76214179642045
72,90.25,6369.45,Two year,DSL,Credit card (automatic),0,0.01538451648307484,16.66143135117005
17,64.7,1093.1,Month-to-month,DSL,Mailed check,1,0.2728231308303741,211.8198787767025
71,96.35,6766.95,Two year,Fiber optic,Credit card (automatic),0,0.04153067112494679,48.01776195466347
2,95.5,181.65,Month-to-month,Fiber optic,Credit card (automatic),0,0.6258869687453273,717.2664661821451
27,66.15,1874.45,One year,DSL,Mailed check,0,0.10896585868148242,86.49709862136075
1,20.2,20.2,Month-to-month,No,Bank transfer (automatic),0,0.18191195778423583,44.09545856689876
1,45.25,45.25,Month-to-month,DSL,Bank transfer (automatic),0,0.3533287881937827,191.85753198922401
72,99.9,7251.7,Two year,Fiber optic,Bank transfer (automatic),0,0.042581039680302434,51.04615036874655
5,69.7,316.9,Month-to-month,Fiber optic,Electronic check,1,0.7026641413178791,587.7082877982741
46,74.8,3548.3,Month-to-month,Fiber optic,Credit card (automatic),0,0.28638053698383814,257.0551699966931
34,106.35,3549.25,Month-to-month,Fiber optic,Electronic check,1,0.5366602712735186,684.8858381992643
11,97.85,1105.4,Month-to-month,Fiber optic,Bank transfer (automatic),1,0.5726637927524627,672.4218254499417
10,49.55,475.7,One year,DSL,Mailed check,0,0.15960234201357734,94.89955256127308
70,69.2,4872.35,Two year,DSL,Credit card (automatic),0,0.014867219201596367,12.345738825005624
17,20.75,418.25,One year,No,Mailed check,0,0.0579001107419277,14.417127574739997
63,79.85,4861.45,Two year,DSL,Credit card (automatic),0,0.0192055036954111,18.402713640942913
13,76.2,981.45,Month-to-month,DSL,Electronic check,0,0.4218716964030149,385.75947919091686
49,84.5,3906.7,Month-to-month,Fiber optic,Electronic check,0,0.3996784036060844,405.2739012565696
2,49.25,97.0,Month-to-month,DSL,Mailed check,0,0.35534905557408847,210.0112918442863
2,80.65,144.15,Month-to-month,Fiber optic,Electronic check,1,0.7311699814114312,707.6263080099832
52,79.75,4217.8,Two year,DSL,Credit card (automatic),0,0.026593052271888663,25.44955102419745
69,64.15,4254.1,Two year,DSL,Credit card (automatic),0,0.014976554573741967,11.528951710866567
43,90.25,3838.75,Month-to-month,Fiber optic,Electronic check,0,0.45044664004966456,487.83371117378675
15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),1,0.5341524840255377,635.2141340031694
25,69.5,1752.65,Month-to-month,DSL,Credit card (automatic),0,0.22055158123353322,183.9400187487667
8,80.65,633.3,Month-to-month,Fiber optic,Credit card (automatic),1,0.565975293999433,547.7508895326514
60,74.85,4456.35,One year,DSL,Credit card (automatic),0,0.04214142854807955,37.85143112188505
18,95.45,1752.55,Month-to-month,Fiber optic,Electronic check,1,0.6416584054449611,734.9555375966585
63,99.65,6311.2,One year,Fiber optic,Credit card (automatic),0,0.10524749071415385,125.85494939598519
66,108.45,7076.35,One year,Fiber optic,Electronic check,0,0.16272560131778854,211.77109755497003
34,24.95,894.3,Two year,No,Credit card (automatic),0,0.016491881706261254,4.93766938285462
72,107.5,7853.7,Two year,Fiber optic,Credit card (automatic),0,0.04234204964292384,54.62124403937175
47,100.5,4707.1,Month-to-month,Fiber optic,Electronic check,0,0.43200057632273803,520.992695045222
60,89.9,5450.7,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.22640384465814767,244.2444676172097
72,42.1,2962.0,Two year,DSL,Bank transfer (automatic),0,0.012910665179309503,6.522468048587161
18,54.4,957.1,One year,DSL,Credit card (automatic),0,0.12531072950987043,81.80284422404341
9,94.4,857.25,Month-to-month,Fiber optic,Electronic check,1,0.7007033254145381,793.7567270295888
3,75.3,244.1,Month-to-month,DSL,Electronic check,0,0.4959950826620149,448.1811566933967
47,78.9,3650.35,One year,Fiber optic,Electronic check,0,0.2321942377047175,219.84150425882655
31,79.2,2497.2,Two year,DSL,Mailed check,0,0.05192204348038284,49.346710123755855
50,20.15,930.9,Two year,No,Bank transfer (automatic),0,0.01040779331208081,2.5166044228611395
10,79.85,887.35,Month-to-month,Fiber optic,Mailed check,0,0.5652572763853801,541.6295222324712
1,49.05,49.05,Month-to-month,DSL,Mailed check,0,0.3621142807013214,213.14046562079778
52,20.4,1090.65,One year,No,Electronic check,0,0.0335655366310093,8.216843367271077
64,111.6,7099.0,Two year,Fiber optic,Bank transfer (automatic),0,0.056395986394002035,75.52550497884752
62,24.25,1424.6,Two year,No,Bank transfer (automatic),0,0.007391932530739213,2.151052366445111
3,64.5,177.4,Month-to-month,DSL,Bank transfer (automatic),0,0.35942399701432515,278.1941736890877
56,110.5,6139.5,One year,Fiber optic,Electronic check,0,0.20988012348087107,278.30104373563506
46,55.65,2688.85,One year,DSL,Credit card (automatic),0,0.05807259974895252,38.78088211235049
8,54.65,482.25,Month-to-month,DSL,Mailed check,0,0.32015992674108606,209.96087995680426
30,74.75,2111.3,Month-to-month,DSL,Electronic check,0,0.30216255618638216,271.0398128991848
45,25.9,1216.6,One year,No,Credit card (automatic),0,0.024693332132819965,7.674687626880445
1,79.35,79.35,Month-to-month,Fiber optic,Electronic check,1,0.7359439819979782,700.7658596584747
11,50.55,565.35,Month-to-month,DSL,Electronic check,0,0.40838128666385265,247.724088490293
7,75.15,496.9,Month-to-month,Fiber optic,Bank transfer (automatic),1,0.5771672357047465,520.4894131585404
42,103.8,4327.5,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.34976134926204794,435.6627366408069
49,20.15,973.35,Two year,No,Bank transfer (automatic),0,0.010724702814477849,2.593233140540744
9,99.3,918.75,Month-to-month,Fiber optic,Credit card (automatic),0,0.5792316410557647,690.2124234820492
35,62.15,2215.45,One year,DSL,Bank transfer (automatic),0,0.08447707955114812,63.00300592924627
48,20.65,1057.0,Two year,No,Bank transfer (automatic),0,0.011075936390210055,2.7446170374940513
46,19.95,927.1,Two year,No,Mailed check,0,0.011969425785410145,2.865480533027189
29,33.75,1009.25,Month-to-month,DSL,Mailed check,0,0.18477363566503655,74.8333224443398
30,82.05,2570.2,Month-to-month,Fiber optic,Bank transfer (automatic),0,0.41221022688221315,405.8621893882271
